Category,Abstract,Title,Reference Number,Center,Patent Number,Serial Number,Expiration Date,Facility,Office,Address1,Address2,City State Zip,Contact Name,Contact Email,Contact Phone
materials and coatings,,"Flame Suppression Agent, System And Users",KSC-12236-2-PCT,KSC,0,/0,1970-01-01 00:00:00,NASA Kennedy Space Center,Innovative Partnerships Office,Kennedy Space Center,,"Kennedy Space Center, FL 32899",,KSC-DL-TechnologyTransfer@mail.nasa.gov,(321) 861-7158
materials and coatings,,Stretchable Mesh for Cavity Noise Reduction,LAR-18327-1,LARC,,20375014,2034-03-11 00:00:00,NASA Langley Research Center,Office of Partnership Development,MS 218,,"Hampton, VA 23681-2199",Sandra Pretlow,Sandra.k.pretlow@nasa.gov,(757) 864-2358
materials and coatings,"Method and system for producing a selected pattern or array of at least one of a single wall nanotube and/or a multi-wall nanotube containing primarily carbon. A substrate is coated with a first layer (optional) of a first selected metal (e.g., Al and/or Ir) and with a second layer of a catalyst (e.g., Fe, Co, Ni and/or Mo), having selected first and second layer thicknesses provided by ion sputtering, arc discharge, laser ablation, evaporation or CVD. The first layer and/or the second layer may be formed in a desired non-uniform pattern, using a mask with suitable aperture(s), to promote growth of carbon nanotubes in a corresponding pattern. A selected heated feed gas (primarily CH.sub.4 or C.sub.2 H.sub.n with n=2 and/or 4) is passed over the coated substrate and forms primarily single wall nanotubes or multiple wall nanotubes, depending upon the selected feed gas and its temperature. Nanofibers, as well as single wall and multi-wall nanotubes, are produced using plasma-aided growth from the second (catalyst) layer. An overcoating of a selected metal or alloy can be deposited, over the second layer, to provide a coating for the carbon nanotubes grown in this manner.",Controlled patterning and growth of single wall and multi-wall carbon nanotubes,ARC-14613-1,ARC,6858197,"10/099,247",2019-11-30 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"Method and system for functionalizing a collection of carbon nanotubes (CNTs). A selected precursor gas (e.g., H.sub.2 or NH.sub.3 or NF.sub.3 or F.sub.2 or CF.sub.4 or C.sub.nH.sub.m) is irradiated to provide a cold plasma of selected target particles, such as atomic H or F, in a first chamber. The target particles are directed toward an array of CNTs located in a second chamber while suppressing transport of ultraviolet radiation to the second chamber. A CNT array is functionalized with the target particles, at or below room temperature, to a point of saturation, in an exposure time interval no longer than about 30 sec. The predominant species that are deposited on the CNT array vary with the distance d measured along a path from the precursor gas to the CNT array; two or three different predominant species can be deposited on a CNT array for distances d=d1 and d=d2&amp;gt;d1 and d=d3&amp;gt;d2.",Selective functionalization of carbon nanotubes based upon distance traveled,ARC-14661-3,ARC,7767270,"11/387,503",2025-11-05 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"Tantalum-based ceramics are suitable for use in thermal protection systems. These composite structures have high efficiency surfaces (low catalytic efficiency and high emittance), thereby reducing heat flux to a spacecraft during planetary re-entry. These ceramics contain tantalum disilicide, molybdenum disilicide and borosilicate glass. The components are milled, along with a processing aid, then applied to a surface of a porous substrate, such as a fibrous silica or carbon substrate. Following application, the coating is then sintered on the substrate. The composite structure is substantially impervious to hot gas penetration and capable of surviving high heat fluxes at temperatures approaching 3000.degree. F. and above.",High efficiency tantalum-based ceramic composite structures,ARC-14743-1,ARC,7767305,10/758611,2024-01-14 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"A method for providing for thermal conduction using an array of carbon nanotubes (CNTs). An array of vertically oriented CNTs is grown on a substrate having high thermal conductivity, and interstitial regions between adjacent CNTs in the array are partly or wholly filled with a filler material having a high thermal conductivity so that at least one end of each CNT is exposed. The exposed end of each CNT is pressed against a surface of an object from which heat is to be removed. The CNT-filler composite adjacent to the substrate provides improved mechanical strength to anchor CNTs in place and also serves as a heat spreader to improve diffusion of heat flux from the smaller volume (CNTs) to a larger heat sink.",Nanoengineered thermal materials based on carbon nanotube array composites,ARC-15173-1,ARC,7273095,"10/825,795",2023-03-11 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"A method for providing for thermal conduction using an array of carbon nanotubes (CNTs). An array of vertically oriented CNTs is grown on a substrate having high thermal conductivity, and interstitial regions between adjacent CNTs in the array are partly or wholly filled with a filler material having a high thermal conductivity so that at least one end of each CNT is exposed. The exposed end of each CNT is pressed against a surface of an object from which heat is to be removed. The CNT-filler composite adjacent to the substrate provides improved mechanical strength to anchor CNTs in place and also serves as a heat spreader to improve diffusion of heat flux from the smaller volume (CNTs) to a larger heat sink.",Nanoengineered thermal materials based on carbon nanotube array composites,ARC-15173-2,ARC,7784531,"11/900,131",2024-02-16 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"A composite thermal protection structure, for applications such as atmospheric re-entry vehicles, that can withstand temperatures as high as 3600.degree. F. The structure includes an exposed surface cap having a specially formulated coating, an insulator base adjacent to the cap with another specially formulated coating, and one or more pins that extend from the cap through the insulator base to tie the cap and base together, through ceramic bonding and mechanical attachment. The cap and insulator base have corresponding depressions and projections that mate and allow for differences in thermal expansion of the cap and base.","Toughened uni-piece, fibrous, reinforced, oxidization-resistant composite",ARC-15201-1,ARC,7381459,"10/779,504",2024-02-12 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"A composite thermal protection structure, for applications such as atmospheric re-entry vehicles, that can withstand temperatures as high as 3600.degree. F. The structure includes an exposed surface cap having a specially formulated coating, an insulator base adjacent to the cap with another specially formulated coating, and one or more pins that extend from the cap through the insulator base to tie the cap and base together, through ceramic bonding and mechanical attachment. The cap and insulator base have corresponding depressions and projections that mate and allow for differences in thermal expansion of the cap and base. A thin coating of a reaction cured glass formulation is optionally provided on the structure to allow reduce oxidization and/or to reduce catalytic efficiency.","Toughened uni-piece, fibrous, reinforced, oxidization-resistant composite",ARC-15201-2,ARC,7314648,"10/911,747",2024-02-12 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"A tough ultra-high temperature ceramic (UHTC) composite comprises grains of UHTC matrix material, such as HfB.sub.2, ZrB.sub.2 or other metal boride, carbide, nitride, etc., surrounded by a uniform distribution of acicular high aspect ratio reinforcement ceramic rods or whiskers, such as of SiC, is formed from uniformly mixing a powder of the UHTC material and a pre-ceramic polymer selected to form the desired reinforcement species, then thermally consolidating the mixture by hot pressing. The acicular reinforcement rods may make up from 5 to 30 vol % of the resulting microstructure.",In-situ formation of reinforcement phases in ultra high temperature ceramic composites,ARC-15903-1DIV,ARC,8409491,"13/215,206",2027-09-28 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"A method for increasing density of a region of a porous, phenolic bonded (PPB) body adjacent to a selected surface to increase failure tensile strength of the adjacent region and/or to decrease surface recession at elevated temperatures. When the surface-densified PPB body is brought together with a substrate, having a higher failure tensile strength, to form a composite body with a PPB body/substrate interface, the location of tensile failure is moved to a location spaced apart from the interface, the failure tensile strength of the PPB body is increased, and surface recession of the material at elevated temperature is reduced. The method deposits and allows diffusion of a phenolic substance on the selected surface. The PPB body and the substrate may be heated and brought together to form the composite body. The phenolic substance is allowed to diffuse into the PPB body, to volatilize and to cure, to provide a processed body with an increased surface density.",Modification of Surface Density of a Porous Medium,ARC-16132-1,ARC,0,"14/091,250",2033-11-26 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"A thermal protection material composition that is capable of surviving multiple exposures to re-entry temperatures up to about 3200 o F for time intervals as long as 600 sec. The material includes a relatively thick ROCCI layer, adjacent to a substrate or tile, a relatively thin, multi-layer HETC material (comprising TaSi2, MoSi2 and borosilicate glass), diffused into an exposed surface of the ROCCI material, and an overcoat layer of reaction cured glass (RCG), optionally including a small percentage of aluminum borosilicate.",Recyclable Thermal Protection Material,ARC-16466-1,ARC,,"14/010,322",2033-08-26 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"A low-density article comprising a flexible substrate and a pyrolizable material impregnated therein, methods of preparing, and devices using the article are disclosed. The pyrolizable material pyrolizes above 350 C and does not flow at temperatures below the pyrolysis temperature. The low-density article remains flexible after impregnation and continues to remain flexible when the pyrolizable material is fully pyrolized.",Flexible Ablators,ARC-16607-1,ARC,,"13/658,749",2032-10-23 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
materials and coatings,"A thermal protection system that reduces a mismatch of thermal expansion coefficients CTE between a first material layer (CTE1) and a second material layer (CTE2) at a first layer-second layer interface. A portion of aluminum borosilicate (abs) or another suitable additive (add), whose CTE value, CTE(add), satisfies (CTE(add) CTE1)( CTE(add) CTE2) < 0, is distributed with variable additive density, (z;add), in the first material layer and/or in the second material layer, with (z;add) near the materials interface being relatively high (alternatively, relatively low) and (z;add) in a region spaced apart from the interface being relatively low (alternatively, relatively high).",Thermal Protection Supplement for Reducing Interface Thermal Mismatch,ARC-16924-1,ARC,,"14/010,355",2033-08-26 00:00:00,NASA Ames Research Center,Technology Partnerships Division,Mail Stop 202A-3,,"Moffett Field, CA 94035",Trupti D. Sanghani,Trupti.D.Sanghani@nasa.gov,
